Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Chris Coons (D-DE)|$415,400|HBGIX|Hartford Disciplined Equity Fund|||
Tom Carper (D-DE)|$414,400|AAPL|Apple Inc.|Technology|Computer Manufacturing|
Mitch McConnell (R-KY)|$403,900|SDGAX|Deutsch VSI Capital Growth|||
Kamala Harris (D-CA)|$403,300|BIV|BIV Vanguard Bond Intermediate ETF|||
Sheldon Whitehouse (D-RI)|$401,400|NFLX|Netflix Inc|||
David Perdue (R-GA)|$400,700|SPY|S&P 500 EFT|||
John Hoeven (R-ND)|$398,200|BSTZ|BlackRock Science and Technology Trust II|||
Tina Smith (D-MN)|$395,800|CSII|Cardiovascular Systems, Inc.|Health Care|Medical/Dental Instruments|
Ron Wyden (D-OR)|$392,600|MLAAX|Mainstay Funds Large Cap Growth Fund|||
Kamala Harris (D-CA)|$388,300|VTTVX|Target Date Fund 2025|||
Shelley Moore Capito (R-WV)|$380,600|MSFT|Microsoft Corp|||
Rob Portman (R-OH)|$378,600|DISRX|Dreyfus International Stock Fund|||
Kamala Harris (D-CA)|$377,900|MBB|Barclay Mbs Bond|||
Kamala Harris (D-CA)|$374,800|VTRCX|SFDCP Target Date 2025|||
John Hoeven (R-ND)|$369,800|VRC|VF Corp|||
David Perdue (R-GA)|$369,700|RF|Regions Financial|||
John Hoeven (R-ND)|$368,400|VZ|Verizon Communications|||
Sheldon Whitehouse (D-RI)|$362,600|AMGN|Amgen Inc.|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|
Susan Collins (R-ME)|$362,500|MSFT|Microsoft Corp|||
Roy Blunt (R-MO)|$362,400|MDLZ|Kraft Foods|||
Kelly Loeffler (R-GA)|$361,600|DD|DowDuPont Inc|||
Mazie K Hirono (D-HI)|$361,400|AGTHX|American Funds Growth Fund of America|||
John Hoeven (R-ND)|$361,200|DE|Deere & Co|||
John Hoeven (R-ND)|$360,600|GIS|General Mills|||
Mitch McConnell (R-KY)|$360,600|VHCOX|Vanguard Capital Opportunity Fund|||
Kamala Harris (D-CA)|$356,800|ACWX|SFDCP International Equity|||
Dianne Feinstein (D-CA)|$353,900|FUN|Cedar Fair Limited Partnership Int|||
Pat Toomey (R-PA)|$351,900|QQQ|Power Shares QQQ Trust|||
Dianne Feinstein (D-CA)|$346,900|WCN|Waste Connections Inc|||
John Boozman (R-AR)|$346,200|FISV|Fiserv Inc|||
Joe Manchin (D-WV)|$341,800|MVBF|MVB Financial Corp|||
Chuck Grassley (R-IA)|$341,600|FXAIX|SPTN 500 Index|||
Jeff Merkley (D-OR)|$340,600|TWCGX|American Century Growth Institution|||
Mark Warner (D-VA)|$340,000|POGRX|Primecap Odyssey Funds|||
Tom Udall (D-NM)|$338,600|VINIX|VINIX - Vanguard Institutional Index I (NASDAQ)|||
Ed Markey (D-MA)|$337,600|RSEGX|RS Small Cap Growth Mutual Fund|||
Mitch McConnell (R-KY)|$334,200|PREIX|T Rowe Price Equity Index 500|||
Mitch McConnell (R-KY)|$334,100|VGIAX|Vanguard Growth & Income Adm|||
Rob Portman (R-OH)|$332,000|POPFX|Prospector Opportunity (NASDAQ)|||
Chuck Grassley (R-IA)|$331,800|VSMGX|Moderate Age-Based Option: Vanguard Growth Portfol|||
Dianne Feinstein (D-CA)|$328,500|PNR|Pentair plc|||
Dan Sullivan (R-AK)|$323,600|IWF|iShares Russell 1000 Growth|||
John Hoeven (R-ND)|$323,600|WMT|Wal-Mart Stores|||
Pat Roberts (R-KS)|$320,200|AAPL|Apple Inc.|Technology|Computer Manufacturing|
Lamar Alexander (R-TN)|$319,100|VDADX|Vanguard Dividend Apprec Index|||
Sheldon Whitehouse (D-RI)|$316,900|VRC|VF Corp|||
Bill Cassidy (R-LA)|$312,200|PRWCX|T Rowe Price Capital Appreciation|||
David Perdue (R-GA)|$307,100|LYV|Live Nation Entertainment|||
