Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
Tina Smith (D-MN),302200,NEE,NextEra Energy,Technology,EDP Services,D,MN
Catherine Cortez Masto (D-NV),300800,GTMUX,Goldman Sachs Small/Mid Cap Fund,Technology,EDP Services,D,NV
Angus King (D-ME),299200,SDVSX,Sit Dividend Growth Fund,Technology,EDP Services,D,ME
Shelley Moore Capito (R-WV),298400,SVSPX,SSGA S&P 500 Index,Technology,EDP Services,R,WV
Ben Cardin (D-MD),297100,CGIIX,Calamos Growth & Income Fund,Technology,EDP Services,D,MD
David Perdue (R-GA),296900,GM,General Motors,Technology,EDP Services,R,GA
David Perdue (R-GA),295600,PFE,Pfizer Inc,Technology,EDP Services,R,GA
John Hoeven (R-ND),294800,PRU,Prudential Financial,Technology,EDP Services,R,ND
Roy Blunt (R-MO),293800,VIMSX,US Mid-Cap Equity Index FunD,Technology,EDP Services,R,MO
John Hoeven (R-ND),291500,CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services,R,ND
Mitch McConnell (R-KY),290500,NWS,News Corp,Consumer Services,Catalog/Specialty Distribution,R,KY
James M Inhofe (R-OK),289700,PEP,Pepsico Inc,Consumer Services,Catalog/Specialty Distribution,R,OK
David Perdue (R-GA),287300,WMT,Wal-Mart Stores,Consumer Services,Catalog/Specialty Distribution,R,GA
Rob Portman (R-OH),285900,VWAHX,Vanguard High Yield Tax Exempt Fund,Consumer Services,Catalog/Specialty Distribution,R,OH
Jeanne Shaheen (D-NH),285900,TVRRX,TVRRX - Thornburg Value R5 (NASDAQ),Consumer Services,Catalog/Specialty Distribution,D,NH
Sheldon Whitehouse (D-RI),285300,LRCX,Lam Research Corporation,Consumer Services,Catalog/Specialty Distribution,D,RI
John Boozman (R-AR),284100,TLT,iShares 20+ Year Treasury Bond,Consumer Services,Catalog/Specialty Distribution,R,AR
John Hoeven (R-ND),283700,MDU,MDU Resources Group,Consumer Services,Catalog/Specialty Distribution,R,ND
David Perdue (R-GA),283500,MRK,Merck & Co,Consumer Services,Catalog/Specialty Distribution,R,GA
Thom Tillis (R-NC),283300,OTCFX,T Rowe Price Small Cap Stock,Consumer Services,Catalog/Specialty Distribution,R,NC
Tina Smith (D-MN),279000,IIN,IntriCon Corp,Consumer Services,Catalog/Specialty Distribution,D,MN
John Hoeven (R-ND),276100,MDDVX,MDDVX - BlackRock Equity Dividend Inv A (NASDAQ),Consumer Services,Catalog/Specialty Distribution,R,ND
Pat Roberts (R-KS),276100,ETY,Eaton Vance Tax-Managed Diversified Equity Income,Consumer Services,Catalog/Specialty Distribution,R,KS
Pat Roberts (R-KS),275300,NVDA,NVIDIA Corporation,Consumer Services,Catalog/Specialty Distribution,R,KS
Dianne Feinstein (D-CA),274100,JNJ,Johnson & Johnson,Consumer Services,Catalog/Specialty Distribution,D,CA
Ben Cardin (D-MD),273500,IVE,Ishares S&P 500 Value Index,Consumer Services,Catalog/Specialty Distribution,D,MD
Tom Carper (D-DE),272700,TCWIX,T-C Lifecycle 2020 Institutional,Consumer Services,Catalog/Specialty Distribution,D,DE
David Perdue (R-GA),271400,DIS,The Walt Disney Co,Consumer Services,Catalog/Specialty Distribution,R,GA
Mazie K Hirono (D-HI),270100,CAIBX,American Funds Capital Income Builder Fund,Consumer Services,Catalog/Specialty Distribution,D,HI
John Boozman (R-AR),270100,AGZ,Barclay Agency Bond,Consumer Services,Catalog/Specialty Distribution,R,AR
John Hoeven (R-ND),269900,FB,Facebook Inc,Consumer Services,Catalog/Specialty Distribution,R,ND
Ben Cardin (D-MD),269400,GSFTX,Columbia Dividend Income A (NASDAQ),Consumer Services,Catalog/Specialty Distribution,D,MD
John Hoeven (R-ND),268800,AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,R,ND
Ted Cruz (R-TX),267100,VTTHX,Vanguard Target Retirement 2035,Consumer Non-Durables,Farming/Seeds/Milling,R,TX
Shelley Moore Capito (R-WV),266900,C,Citigroup Common Stock Fund,Consumer Non-Durables,Farming/Seeds/Milling,R,WV
Kamala Harris (D-CA),266900,EWL,iShares MSCI Switzerland Capped ETF,Consumer Non-Durables,Farming/Seeds/Milling,D,CA
Roy Blunt (R-MO),266600,MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,R,MO
Rob Portman (R-OH),266000,MDY,SPDR S&P Mid Cap 400 ETF,Technology,Computer Manufacturing,R,OH
Sheldon Whitehouse (D-RI),264900,PANW,Palo Alto Networks,Technology,Computer Manufacturing,D,RI
James M Inhofe (R-OK),264800,AAPL,Apple Inc.,Technology,Computer Manufacturing,R,OK
Ted Cruz (R-TX),264500,LIJKX,Blackrock Lifepath Portfolio Target 2035,Technology,EDP Services,R,TX
David Perdue (R-GA),264400,EPD,Enterprise Products Partners,Technology,EDP Services,R,GA
John Hoeven (R-ND),262500,PFE,Pfizer Inc,Technology,EDP Services,R,ND
Mark Warner (D-VA),262200,WES,WDE Partners LP,Technology,EDP Services,D,VA
John Hoeven (R-ND),259900,CCI,Crown Castle International,Technology,EDP Services,R,ND
John Hoeven (R-ND),259200,TJX,TJX Companies,Technology,EDP Services,R,ND
John Hoeven (R-ND),259100,T,AT&T Inc,Technology,EDP Services,R,ND
Dianne Feinstein (D-CA),256200,SERV,Servicemaster Global Holdings Inc,Technology,EDP Services,D,CA
Tom Carper (D-DE),253300,LNC,Lincoln National Corp,Technology,EDP Services,D,DE
Mazie K Hirono (D-HI),253100,CWGIX,American Cap World Growth Income Fund,Technology,EDP Services,D,HI
Susan Collins (R-ME),252800,ROP,Roper Industries,Technology,EDP Services,R,ME
Tim Kaine (D-VA),252200,KO,Coca-Cola Co,Technology,EDP Services,D,VA
Doug Jones (D-AL),252200,RWEBX,American Funds Washington Mutual Fund,Technology,EDP Services,D,AL
John Hoeven (R-ND),251500,ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,R,ND
Rob Portman (R-OH),250900,LLINX,Longleaf Partners International,Technology,Semiconductors,R,OH
Doug Jones (D-AL),250700,ANCFX,American Funds Fundamental Investors Fd,Technology,Semiconductors,D,AL
Pat Toomey (R-PA),250100,SPY,S&P 500 EFT,Technology,Semiconductors,R,PA
Susan Collins (R-ME),249800,FASMX,Fidelity Asset Manager Fund,Technology,Semiconductors,R,ME
Roy Blunt (R-MO),249700,LMT,Lockheed Martin,Technology,Semiconductors,R,MO
John Hoeven (R-ND),248100,IBM,IBM Corp,Technology,Semiconductors,R,ND
Patty Murray (D-WA),245000,FLPSX,Fidelity Low Priced Stock Fund,Technology,Semiconductors,D,WA
Susan Collins (R-ME),244000,TFX,Teleflex Inc,Technology,Semiconductors,R,ME
Ron Wyden (D-OR),243800,FAGIX,Fidelity Capital & Income Fund,Technology,Semiconductors,D,OR
Rob Portman (R-OH),242300,OAKIX,Oakmark International Fund,Technology,Semiconductors,R,OH
Sheldon Whitehouse (D-RI),239400,EL,Estee Lauder Companies,Technology,Semiconductors,D,RI
Dianne Feinstein (D-CA),239300,JPM,JPMorgan Chase & Co,Technology,Semiconductors,D,CA
